algorithm,length_bytes,ber,trial,errors,corrupted,encoded_bits,overhead_pct,detected,corrected,false_negative,recovered_correctly,encode_ns,decode_ns
hamming,1,0,0,0,0,13,62.5,0,0,0,1,14109,319707
hamming,1,0,1,0,0,13,62.5,0,0,0,1,12216,105147
hamming,1,0,2,0,0,13,62.5,0,0,0,1,12772,92292
hamming,1,0,3,0,0,13,62.5,0,0,0,1,20834,81722
hamming,1,0,4,0,0,13,62.5,0,0,0,1,13533,92612
hamming,1,0,5,0,0,13,62.5,0,0,0,1,12813,94894
hamming,1,0,6,0,0,13,62.5,0,0,0,1,13883,89959
hamming,1,0,7,0,0,13,62.5,0,0,0,1,17102,95182
hamming,1,0,8,0,0,13,62.5,0,0,0,1,15538,78585
hamming,1,0,9,0,0,13,62.5,0,0,0,1,12391,90452
hamming,1,0,10,0,0,13,62.5,0,0,0,1,15147,146002
hamming,1,0,11,0,0,13,62.5,0,0,0,1,14140,96581
hamming,1,0.001,0,0,0,13,62.5,0,0,0,1,13975,100149
hamming,1,0.001,1,0,0,13,62.5,0,0,0,1,15754,176961
hamming,1,0.001,2,0,0,13,62.5,0,0,0,1,14355,104448
hamming,1,0.001,3,0,0,13,62.5,0,0,0,1,16124,116201
hamming,1,0.001,4,0,0,13,62.5,0,0,0,1,13153,141282
hamming,1,0.001,5,0,0,13,62.5,0,0,0,1,14150,102391
hamming,1,0.001,6,0,0,13,62.5,0,0,0,1,11785,75057
hamming,1,0.001,7,0,0,13,62.5,0,0,0,1,12021,73444
hamming,1,0.001,8,0,0,13,62.5,0,0,0,1,12874,68538
hamming,1,0.001,9,0,0,13,62.5,0,0,0,1,11208,79861
hamming,1,0.001,10,0,0,13,62.5,0,0,0,1,11558,78595
hamming,1,0.001,11,0,0,13,62.5,0,0,0,1,11034,69422
hamming,1,0.01,0,1,1,13,62.5,1,1,0,1,13306,77937
hamming,1,0.01,1,0,0,13,62.5,0,0,0,1,12032,67952
hamming,1,0.01,2,0,0,13,62.5,0,0,0,1,11538,79973
hamming,1,0.01,3,0,0,13,62.5,0,0,0,1,11703,87377
hamming,1,0.01,4,0,0,13,62.5,0,0,0,1,11374,70687
hamming,1,0.01,5,0,0,13,62.5,0,0,0,1,12895,67232
hamming,1,0.01,6,0,0,13,62.5,0,0,0,1,16947,78719
hamming,1,0.01,7,0,0,13,62.5,0,0,0,1,13358,79747
hamming,1,0.01,8,0,0,13,62.5,0,0,0,1,11754,80755
hamming,1,0.01,9,0,0,13,62.5,0,0,0,1,11784,67006
hamming,1,0.01,10,0,0,13,62.5,0,0,0,1,11723,67397
hamming,1,0.01,11,0,0,13,62.5,0,0,0,1,14140,74873
hamming,1,0.05,0,1,1,13,62.5,1,1,0,1,13811,82081
hamming,1,0.05,1,1,1,13,62.5,1,1,0,1,11918,71746
hamming,1,0.05,2,0,0,13,62.5,0,0,0,1,15580,74801
hamming,1,0.05,3,1,1,13,62.5,1,1,0,1,13903,93588
hamming,1,0.05,4,0,0,13,62.5,0,0,0,1,11631,74821
hamming,1,0.05,5,0,0,13,62.5,0,0,0,1,11507,76724
hamming,1,0.05,6,1,1,13,62.5,1,1,0,1,11713,68867
hamming,1,0.05,7,0,0,13,62.5,0,0,0,1,15250,63705
hamming,1,0.05,8,0,0,13,62.5,0,0,0,1,11568,69032
hamming,1,0.05,9,0,0,13,62.5,0,0,0,1,13852,353704
hamming,1,0.05,10,1,1,13,62.5,1,1,0,1,15435,96242
hamming,1,0.05,11,0,0,13,62.5,0,0,0,1,14356,75469
hamming,8,0,0,0,0,104,62.5,0,0,0,1,25944,240578
hamming,8,0,1,0,0,104,62.5,0,0,0,1,26243,134330
hamming,8,0,2,0,0,104,62.5,0,0,0,1,25451,129004
hamming,8,0,3,0,0,104,62.5,0,0,0,1,30686,138721
hamming,8,0,4,0,0,104,62.5,0,0,0,1,24701,185830
hamming,8,0,5,0,0,104,62.5,0,0,0,1,26654,143709
hamming,8,0,6,0,0,104,62.5,0,0,0,1,40125,190025
hamming,8,0,7,0,0,104,62.5,0,0,0,1,25925,135184
